previousids	refseqids
Tc00.1047053504867.40	XP_812778
Tc00.1047053510943.100	XP_817083
Tc00.1047053508257.50	XP_818937
Tc00.1047053507941.14	XP_812828
Tc00.1047053509985.69	XP_807634
Tc00.1047053503929.20	XP_807671
Tc00.1047053506405.110	XP_812745
Tc00.1047053509749.33	XP_803995
Tc00.1047053509749.36	XP_803994
Tc00.1047053511275.30	XP_805511
Tc00.1047053503833.40	XP_805776
Tc00.1047053506213.60	XP_811926
Tc00.1047053511287.120	XP_814355
Tc00.1047053511287.40	XP_814348
Tc00.1047053507603.54	XP_818580
Tc00.1047053509429.124	XP_820177
Tc00.1047053506957.110	XP_815046
Tc00.1047053511001.100	XP_819629
Tc00.1047053504069.56	XP_811520
Tc00.1047053507641.233	XP_819516
Tc00.1047053511145.46	XP_808231
Tc00.1047053509081.20	XP_810604
Tc00.1047053511553.30	XP_813875
Tc00.1047053504539.20	XP_803100
Tc00.1047053506533.106	XP_808661
Tc00.1047053507157.10	XP_802896
Tc00.1047053509147.50	XP_806296
Tc00.1047053504105.94	XP_819714
Tc00.1047053509233.190	XP_817835
Tc00.1047053506835.150	XP_813554
Tc00.1047053506945.105	XP_819000
Tc00.1047053511211.120	XP_817733
Tc00.1047053511211.130	XP_817734
Tc00.1047053509105.140	XP_814892
Tc00.1047053509643.130	XP_811791
Tc00.1047053508267.20	XP_805946
Tc00.1047053508267.40	XP_805948
Tc00.1047053507061.34	XP_811040
Tc00.1047053509775.34	XP_812159
Tc00.1047053509747.20	XP_812325
Tc00.1047053510719.160	XP_819195
Tc00.1047053506367.174	XP_813277
Tc00.1047053506629.90	XP_816582
Tc00.1047053504575.15	XP_805288
Tc00.1047053509011.54	XP_812578
Tc00.1047053510961.10	XP_806753
Tc00.1047053510961.30	XP_806754
Tc00.1047053506679.100	XP_820037
Tc00.1047053506679.94	XP_820056
Tc00.1047053409117.20	XP_802938
Tc00.1047053506945.230	XP_818986
Tc00.1047053508823.50	XP_809982
Tc00.1047053507907.30	XP_809826
Tc00.1047053507907.60	XP_809829
Tc00.1047053506861.30	XP_804656
Tc00.1047053506937.30	XP_805519
Tc00.1047053510437.20	XP_808072
Tc00.1047053505481.10	XP_804389
Tc00.1047053510499.20	XP_804552
Tc00.1047053430603.20	XP_802593
Tc00.1047053509527.10	XP_813721
Tc00.1047053506945.160	XP_818979
Tc00.1047053510445.50	XP_805030
Tc00.1047053507007.74	XP_813700
Tc00.1047053509551.64	XP_814552
Tc00.1047053511679.10	XP_804663
Tc00.1047053511685.30	XP_807372
Tc00.1047053510029.70	XP_806441
Tc00.1047053510973.30	XP_804545
